feature,chi2_stat,anova_f,mw_u,score
PREDICT_original_tf_Gabor_quartile_range_F0.5_A0.79,0.18579295004131866,0.7977542133795583,0.22996407621891002,327.3333333333333
PREDICT_original_tf_GLCMMS_homogeneityd1.0A1.57mean,0.026568867432879197,1.1276584915563614,0.1645954520837477,327.1666666666667
PREDICT_original_tf_GLCM_homogeneityd3.0A0.0,0.026568867432879485,1.1276584915563603,0.1645954520837477,327.1666666666667
PREDICT_original_tf_Gabor_quartile_range_F0.2_A2.36,0.32106086036801584,1.0013197586888811,0.4579320293443684,326.6666666666667
PREDICT_original_tf_GLCM_dissimilarityd1.0A0.79,0.08510915857185843,1.2639186201772716,0.25866885947439733,325.5
PREDICT_original_tf_GLCMMS_dissimilarityd1.0A0.0std,0.08510915857185936,1.2639186201772772,0.25866885947439733,324.8333333333333
PREDICT_original_tf_Gabor_max_F0.05_A0.79,0.21024804474004805,0.5778424391232165,0.13925238628766748,323.0
PREDICT_original_tf_Gabor_peak_F0.05_A1.57,0.06487544478299434,2.1251613409496524,0.377752937439334,323.0
PREDICT_original_hf_max,0.010334386503776605,0.7821905148924242,0.057504659746907175,319.6666666666667
"PREDICT_original_vf_Frangi_inner_kurtosis_SR(1.0, 10.0)_SS2.0",0.4977594091298325,0.08621941081140573,0.0821033448576843,319.3333333333333
PREDICT_original_logf_mean_sigma1,0.3711911873025419,0.7108373527428794,0.20779136436487944,319.0
PREDICT_original_tf_GLCMMS_contrastd1.0A1.57mean,0.004613973643671816,1.9998229929086995,0.16208716645842525,318.5
PREDICT_original_tf_Gabor_max_F0.5_A1.57,0.009972479438246834,0.8475736535912785,0.06458561324877903,318.0
PREDICT_original_tf_GLCM_contrastd3.0A0.0,0.004613973643671922,1.9998229929087004,0.16208716645842525,317.8333333333333
PREDICT_original_logf_std_sigma1,3.3893963983244833,0.2681410672663361,0.49060088753861564,317.6666666666667
PREDICT_original_phasef_phasecong_std_WL3_N5,0.3065651037766778,0.39686415832254557,0.1126614287122233,317.6666666666667
PREDICT_original_tf_GLCM_correlationd3.0A0.0,3.3809487233820033,0.6304272932185343,0.6881030450568217,317.0
PREDICT_original_of_theta_z,0.7174305377168293,0.9265835465674355,0.47506035649231126,316.3333333333333
PREDICT_original_tf_Gabor_range_F0.05_A0.79,0.4531348111450715,0.6786809914895513,0.19991088696325443,315.6666666666667
PREDICT_original_sf_solidity_std_2.5D,1.3280274095761206,0.006950551763275789,0.10064946131269596,313.6666666666667
PREDICT_original_phasef_monogenic_skewness_WL3_N5,0.010070210698815767,1.7084368329918653,0.134197745067347,313.3333333333333
PREDICT_original_tf_Gabor_range_F0.2_A0.0,0.11591950572868825,0.6732934870977455,0.08925465125571277,313.3333333333333
PREDICT_original_phasef_phasecong_skewness_WL3_N5,0.002666160710025783,0.7529416629068504,0.014391378079913943,311.5
PREDICT_original_logf_range_sigma10,5.43470717932434,0.7165124061680052,0.9867470082183171,311.3333333333333
"PREDICT_original_vf_Frangi_full_kurtosis_SR(1.0, 10.0)_SS2.0",0.11268184158332215,0.3609530454105891,0.0361048051622469,310.5
"PREDICT_original_vf_Frangi_edge_kurtosis_SR(1.0, 10.0)_SS2.0",0.11268184158332215,0.3609530454105891,0.0361048051622469,310.5
PREDICT_original_tf_Gabor_kurtosis_F0.5_A0.0,0.7290405310526638,0.3395102847818114,0.1484156037920338,310.3333333333333
PREDICT_original_tf_Gabor_min_F0.5_A0.0,0.34077577948620985,1.0931454694149314,0.282160151245041,310.0
"PREDICT_original_vf_Frangi_edge_skewness_SR(1.0, 10.0)_SS2.0",0.003231775065195867,1.4471718507005331,0.0697764069106904,309.8333333333333
"PREDICT_original_vf_Frangi_full_skewness_SR(1.0, 10.0)_SS2.0",0.003231775065195867,1.4471718507005331,0.0697764069106904,309.8333333333333
PREDICT_original_tf_Gabor_std_F0.05_A0.0,1.250746142568572,0.8361287153625875,0.4716439664907779,309.6666666666667
PREDICT_original_logf_kurtosis_sigma10,3.4183245874761656,0.2849640839804873,0.4317207524238137,309.0
PREDICT_original_tf_GLCMMS_correlationd3.0A0.79std,0.004093256590915945,1.8367259231958575,0.1053256956500158,308.6666666666667
PREDICT_original_logf_skewness_sigma10,0.03875455919932996,1.5178627696206861,0.1244131906810106,308.5
"PREDICT_original_vf_Frangi_inner_mean_SR(1.0, 10.0)_SS2.0",3.4077365954593763,0.8854124683176735,0.8376751907268073,308.3333333333333
PREDICT_original_tf_Gabor_quartile_range_F0.2_A0.0,3.7048360063893497,0.7293557966348303,0.7018216348124482,307.6666666666667
"PREDICT_original_vf_Frangi_inner_skewness_SR(1.0, 10.0)_SS2.0",0.04467547045504702,1.0694143808390546,0.09614019643175259,307.3333333333333
PREDICT_original_phasef_phasecong_kurtosis_WL3_N5,0.2700405471933296,0.05507770330556323,0.012133085987081575,307.0
PREDICT_original_logf_energy_sigma5,0.27396439827857433,0.024243613527028654,0.008330594904692177,306.8333333333333
PREDICT_original_tf_Gabor_skewness_F0.5_A2.36,3.265030885812209,1.2927117006865259,0.9977910692797822,306.6666666666667
